66.34429, 312.809150, 1982.361, -0.082, 20150408, 39959.00, 19930701, 47100.22, -88.7, 2045, 0.10
66.34417, 312.809740, 1982.418, -0.082, 20150408, 39959.50, 19930701, 47100.41, -147.2, 1307, 0.10
66.34455, 312.808560, 1982.288, -0.082, 20150408, 39958.24, 19930701, 47099.92, 65.8, 2305, 0.10
67.51476, 311.147230, 1317.189, -0.362, 20150408, 63482.00, 19930702, 42879.60, 143.7, 556, 0.25
67.51436, 311.146090, 1315.459, -0.373, 20150408, 63482.50, 19930702, 42879.08, 142.3, 639, 0.31
67.51406, 311.145220, 1314.165, -0.383, 20150408, 63483.00, 19930702, 42878.56, 140.7, 596, 0.31
67.51342, 311.143450, 1311.817, -0.394, 20150408, 63483.50, 19930702, 42878.04, 138.9, 641, 0.25
67.51298, 311.142180, 1310.292, -0.396, 20150408, 63484.00, 19930702, 42877.52, 137.0, 603, 0.20
67.5126, 311.141170, 1309.241, -0.390, 20150408, 63484.50, 19930702, 42876.99, 134.9, 628, 0.27
67.51232, 311.140340, 1308.451, -0.383, 20150408, 63485.00, 19930702, 42876.47, 132.7, 532, 0.26
67.45435, 310.981180, 1253.835, -0.511, 20150408, 63548.50, 19930702, 42811.60, -21.8, 759, 0.84
67.45416, 310.980580, 1253.543, -0.512, 20150408, 63549.00, 19930702, 42811.10, -25.4, 779, 0.78
67.45384, 310.979580, 1253.439, -0.497, 20150408, 63549.50, 19930702, 42810.59, -29.0, 679, 1.23
67.15128, 322.794930, 2791.559, 0.010, 20150408, 51301.50, 19930703, 52999.46, -185.8, 1164, 0.15
67.15131, 322.794920, 2791.548, 0.009, 20150408, 51302.00, 19930703, 52999.36, -120.3, 1215, 0.15
67.15165, 322.795050, 2791.515, 0.006, 20150408, 51302.50, 19930703, 52999.26, -54.8, 1993, 0.16
67.15168, 322.795140, 2791.531, 0.006, 20150408, 51303.00, 19930703, 52999.15, 10.7, 2078, 0.16
67.15175, 322.795300, 2791.574, 0.007, 20150408, 51303.50, 19930703, 52999.05, 76.2, 1916, 0.15
67.15199, 322.795370, 2791.550, 0.008, 20150408, 51304.00, 19930703, 52998.94, 141.7, 1397, 0.15
67.8932, 323.207510, 2921.056, 0.052, 20150408, 51858.50, 19930703, 51544.78, 127.4, 1364, 0.13
67.89337, 323.207520, 2921.126, 0.051, 20150408, 51859.00, 19930703, 51544.84, 51.2, 1687, 0.14
67.89337, 323.207520, 2921.126, 0.051, 20150408, 51859.50, 19930703, 51544.90, -25.0, 1687, 0.14
67.8935, 323.207510, 2921.180, 0.051, 20150408, 51860.00, 19930703, 51544.96, -101.2, 1802, 0.13
67.89376, 323.207750, 2921.310, 0.053, 20150408, 51860.50, 19930703, 51545.01, -177.4, 1234, 0.12
68.31645, 319.145740, 2740.479, 0.061, 20150408, 61164.00, 19930703, 50265.97, -162.4, 844, 0.10
68.31669, 319.144730, 2740.370, 0.062, 20150408, 61164.50, 19930703, 50265.75, -93.9, 1819, 0.11
68.31667, 319.144740, 2740.373, 0.062, 20150408, 61165.00, 19930703, 50265.52, -25.3, 1797, 0.11
68.31669, 319.144380, 2740.344, 0.062, 20150408, 61165.50, 19930703, 50265.30, 43.3, 2029, 0.11
68.31669, 319.144390, 2740.346, 0.062, 20150408, 61166.00, 19930703, 50265.07, 111.9, 2017, 0.11
68.31668, 319.144390, 2740.348, 0.062, 20150408, 61166.50, 19930703, 50264.85, 180.5, 2005, 0.11
67.15168, 322.795140, 2791.531, 0.006, 20150408, 51302.92, 19930703, 52999.17, 76.0, 2078, 0.16
67.89337, 323.207520, 2921.126, 0.051, 20150408, 51859.34, 19930703, 51544.88, 83.7, 1687, 0.14
68.31664, 319.144820, 2740.387, 0.062, 20150408, 61165.18, 19930703, 50265.44, 65.0, 1576, 0.11
66.3359, 312.230480, 1830.106, -0.154, 20150408, 39762.50, 19930708, 44896.82, 166.1, 1496, 0.13
66.33581, 312.230610, 1830.145, -0.153, 20150408, 39763.00, 19930708, 44896.90, 96.9, 1743, 0.12
66.33567, 312.230910, 1830.263, -0.154, 20150408, 39763.50, 19930708, 44896.99, 27.8, 2125, 0.12
66.33562, 312.230890, 1830.239, -0.154, 20150408, 39764.00, 19930708, 44897.07, -41.2, 2108, 0.12
66.33557, 312.230910, 1830.241, -0.154, 20150408, 39764.50, 19930708, 44897.16, -110.2, 2035, 0.12
66.33547, 312.231310, 1830.422, -0.154, 20150408, 39765.00, 19930708, 44897.25, -179.1, 1530, 0.12
66.33565, 312.230900, 1830.253, -0.154, 20150408, 39763.70, 19930708, 44897.02, 80.3, 2105, 0.12
67.51493, 311.147880, 1318.059, -0.356, 20150408, 63481.50, 19930709, 39628.76, 140.1, 861, 0.31
67.51474, 311.147370, 1317.322, -0.360, 20150408, 63482.00, 19930709, 39628.24, 138.6, 805, 0.33
67.51433, 311.146170, 1315.576, -0.370, 20150408, 63482.50, 19930709, 39627.72, 136.9, 879, 0.41
67.51403, 311.145390, 1314.447, -0.377, 20150408, 63483.00, 19930709, 39627.20, 135.1, 811, 0.37
67.51337, 311.143520, 1311.997, -0.387, 20150408, 63483.50, 19930709, 39626.68, 133.2, 999, 0.28
67.51296, 311.142460, 1310.623, -0.392, 20150408, 63484.00, 19930709, 39626.17, 131.2, 797, 0.21
67.51257, 311.141280, 1309.363, -0.388, 20150408, 63484.50, 19930709, 39625.65, 129.1, 851, 0.29
67.51238, 311.140830, 1308.907, -0.385, 20150408, 63485.00, 19930709, 39625.13, 126.9, 721, 0.28
67.51177, 311.139120, 1307.507, -0.373, 20150408, 63485.50, 19930709, 39624.61, 124.7, 667, 0.30
67.51133, 311.137920, 1306.523, -0.366, 20150408, 63486.00, 19930709, 39624.09, 122.4, 505, 0.25
67.48249, 311.059080, 1274.449, -0.180, 20150408, 63517.50, 19930709, 39591.13, 9.2, 520, 0.38
67.48224, 311.058700, 1273.936, -0.184, 20150408, 63518.00, 19930709, 39590.60, 10.3, 563, 0.37
67.48174, 311.057530, 1272.367, -0.192, 20150408, 63518.50, 19930709, 39590.06, 11.6, 643, 0.30
