2014.62,-1811.98,-869.08,15.7638287
2014.71,-1855.86,-591.3,16.68254167
2014.79,-1809.51,-721.97,15.24112037
2014.88,-1775.17,-659.58,13.58007407
2015.06,-1709.83,-1026.33,15.65176852
2015.12,-1638.4,-1034.55,18.91986574
2015.2,-1627.13,-1145.44,21.19168056
2015.29,-1629.1,-1163.47,19.94978241
2015.32,-1639.41,-1073.69,18.4091713
2015.53,-1841.11,-1201.4,18.61231481
2015.62,-1995.83,-1270.77,22.06755093
2015.7,-1975.08,-1113.5,22.95198611
2015.97,-1964.97,-963.36,22.71275463
2016.04,-1941.22,-932.79,25.26868519
2016.12,-1914.86,-1012.44,23.7891713
2016.21,-1904.7,-841.65,22.60723611
